house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Indira nagar Stage 2,Bangalore,1800.0,3,3,2,Unfurnished,56.0,100000.0
4 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bangalore,2200.0,4,4,0,Furnished,36.0,80000.0
"3 BHK House for Rent in Kaggadasapura, Indira nagar Bangalore",Kaggadasapura,Bangalore,2400.0,3,3,0,Semi-Furnished,23.0,55000.0
"3 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,1800.0,3,4,3,Furnished,67.0,120000.0
2 BHK House for Rent in Kaval Bairasandra Bangalore,Kaval Byrasandra,Bangalore,800.0,2,2,0,Semi-Furnished,25.0,20000.0
1 BHK House for Rent in Kammanahalli Bangalore,Kammanahalli,Bangalore,300.0,1,1,0,Semi-Furnished,27.0,8000.0
"2 BHK Flat for Rent in Vinayak Nagar Kattigenahalli, Bangalore",Vinayak Nagar,Bangalore,1220.0,2,2,3,Semi-Furnished,12.0,15000.0
2 BHK House for Rent in Sunkadakatte Bangalore,Sunkadakatte,Bangalore,600.0,2,1,0,Semi-Furnished,15.0,9000.0
1 BHK House for Rent in Phase 2 Electronic City Bangalore,Electronic City Phase 2,Bangalore,400.0,1,1,0,Furnished,54.0,21500.0
"5 BHK Flat for Rent in Anchepalya, Bangalore",Anchepalya,Bangalore,2171.0,5,5,2,Furnished,39.0,85000.0
3 BHK Villa for Rent in Sarjapur Road Bangalore,Sarjapur Road,Bangalore,2500.0,3,3,3,Unfurnished,18.0,45199.0
"1 BHK Flat for Rent in Choodasandra, Bangalore",Choodasandra,Bangalore,400.0,1,1,0,Unfurnished,25.0,10000.0
"2 BHK Flat for Rent in Prithvi Layout, Whitefield, Bangalore",Prithvi layout,Bangalore,850.0,2,2,0,Unfurnished,34.0,29000.0
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,2072.0,3,4,0,Furnished,39.0,80000.0
4 BHK Villa for Rent in Seegehalli Bangalore,Seegehalli,Bangalore,2900.0,4,4,2,Semi-Furnished,34.0,100000.0
4 BHK Villa for Rent in Devanahalli Bangalore,Devanahalli,Bangalore,3100.0,4,6,4,Furnished,29.0,90000.0
"2 BHK Flat for Rent in Kammanahalli, Bangalore",Kammanahalli,Bangalore,1200.0,2,1,0,Semi-Furnished,17.0,20000.0
1 BHK House for Rent in Spice Garden Layout Bangalore,Spice Garden Layout,Bangalore,800.0,1,2,0,Semi-Furnished,21.0,16500.0
2 BHK House for Rent in Block 6th Koramangala Bangalore,Block 6th Koramangala,Bangalore,1000.0,2,2,0,Semi-Furnished,32.0,32000.0
4 BHK House for Rent in Ex Servicemen Colony RT Nagar Bangalore,Ex Service Men Colony,Bangalore,3700.0,4,4,4,Unfurnished,11.0,39000.0
"3 BHK Flat for Rent in Mahatma Gandhi Nagar, Basaveshvara Nagar, Bangalore",Mahatma Gandhi Nagar,Bangalore,1545.0,3,3,2,Semi-Furnished,55.0,85000.0
4 BHK Villa for Rent in Yelahanka Bangalore,Yelahanka,Bangalore,4035.0,4,5,10,Unfurnished,99.0,400000.0
"1 BHK Flat for Rent in Karthik Nagar, Bangalore",Karthik Nagar,Bangalore,500.0,1,1,0,Furnished,50.0,25000.0
3 BHK House for Rent in Nagavara Bangalore,Nagavara,Bangalore,1400.0,3,2,0,Semi-Furnished,25.0,35000.0
1 BHK House for Rent in Sector 2 HSR Layout Bangalore,Sector 2 HSR Layout,Bangalore,550.0,1,1,0,Semi-Furnished,41.0,22500.0
2 BHK House for Rent in Abbigere Bangalore,Abbigere,Bangalore,650.0,2,1,0,Unfurnished,8.0,5000.0
"3 BHK Flat for Rent in Doddakannelli, Bangalore",Doddakannelli,Bangalore,1500.0,3,3,2,Unfurnished,30.0,45000.0
"4 BHK Flat for Rent in Manyata Residency, Thanisandra, Bangalore",Manyata Residency,Bangalore,3100.0,4,5,2,Semi-Furnished,37.0,110000.0
"2 BHK Flat for Rent in RT Nagar, Bangalore",RT Nagar,Bangalore,600.0,2,2,0,Semi-Furnished,27.0,16000.0
"2 BHK House for Rent in Akshya Nagar, Ramamurthi Nagar Bangalore",Akshya Nagar,Bangalore,1000.0,2,2,0,Furnished,19.0,18500.0
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bangalore,1224.0,3,2,0,Unfurnished,25.0,30000.0
1 BHK House for Rent in Mahadevapura Bangalore,Mahadevapura,Bangalore,400.0,1,1,0,Semi-Furnished,35.0,14000.0
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,569.0,2,2,0,Semi-Furnished,22.0,12500.0
"2 BHK Flat for Rent in RT Nagar, Bangalore",RT Nagar,Bangalore,1200.0,2,2,0,Furnished,29.0,35000.0
3 BHK House for Rent in Gunjur Balagere Road Bangalore,Gunjur Balagere Road,Bangalore,1400.0,3,3,2,Semi-Furnished,29.0,40000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1561.0,3,3,3,Semi-Furnished,54.0,85000.0
1 BHK House for Rent in Stage 1 Banashankari Bangalore,Banashankari Stage 1,Bangalore,200.0,1,1,0,Unfurnished,26.0,5300.0
"2 BHK Flat for Rent in Block 1st Koramangala, Bangalore",Block 1st Koramangala,Bangalore,850.0,2,2,0,Semi-Furnished,35.0,30000.0
"4 BHK Flat for Rent in Benson Town, Bangalore",Benson Town,Bangalore,3300.0,4,4,3,Furnished,68.0,230000.0
"3 BHK Flat for Rent in Jakkur, Bangalore",Jakkur,Bangalore,1100.0,3,3,2,Unfurnished,29.0,32000.0
"3 BHK Flat for Rent in Dollars Colony Stage 2nd RMV, Bangalore",Dollars Colony,Bangalore,2400.0,3,3,0,Semi-Furnished,50.0,120000.0
"3 BHK Flat for Rent in Yelahanka, Bangalore",Yelahanka,Bangalore,2100.0,3,4,0,Semi-Furnished,21.0,45000.0
"4 BHK Villa for Rent in Bellandur, Outer Ring Road Bangalore",Bellandur,Bangalore,3400.0,4,5,2,Semi-Furnished,68.0,230000.0
2 BHK House for Rent in Varthur Bangalore,Varthur,Bangalore,950.0,2,2,0,Semi-Furnished,28.0,26500.0
"3 BHK House for Rent in Beml Layout-Brookefield, Brookefield Bangalore",BEML Layout-Brookefield,Bangalore,1600.0,3,2,0,Furnished,31.0,50000.0
"2 BHK Flat for Rent in Haralur Main Road, Bangalore",Haralur Main Road,Bangalore,1303.0,2,2,0,Furnished,46.0,60000.0
1 BHK House for Rent in Kempapura Agrahara Bangalore,Kempapura Agrahara,Bangalore,800.0,1,1,0,Semi-Furnished,13.0,10500.0
2 BHK House for Rent in Abbigere Bangalore,Abbigere,Bangalore,600.0,2,2,0,Unfurnished,16.0,9500.0
3 BHK Villa for Rent in Thanisandra Bangalore,Thanisandra,Bangalore,3000.0,3,3,0,Semi-Furnished,40.0,120000.0
